video_title,video_id,series,video_length_minutes,video_created,views,subscribers_gained,subscriber conversion,% subscriber conversion,average_view_duration,watch_time_minutes,% average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,% clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,% clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,% clicks_per_end_screen_element_shown,estimated_monetized_playbacks,ad_impressions,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,average_percentage_viewed,,watch_time_hours
Cruise Ship Lovers Share Both Sides Of Their Love Story,mdftkoGpOTA,Both Sides,8.05,12/28/2017,"206,182",788,261.65,0.3822%,5,1032046,62.18%,1,7,14.29,14.29%,6,3653,0.16,0.16%,133286,2318,1.74,1.74%,108564,125848,566,5,80563,0.01,0,0,0,80563,6654,6796,142,28,55,27,1021,256,1365,3400,2035,62.18,,17201
Why I Left My Six-Figure Job To Find My Calling,QeTgfqcXN7o,Crazy Ones,7.03,1/3/2018,"125,654","3,422",36.72,2.7234%,4,507846,57.46%,15,24,62.5,62.50%,18,4075,0.44,0.44%,0,0,0,0.00%,58907,72481,349,20,52278,0.04,0,0,0,52278,7885,8102,217,113,142,29,1547,496,4253,6475,2222,57.46,,8464
Best Friends Express Their True Feelings About Each Other,FCmI2WXVqL8,Candid Confession,7.5,1/3/2018,"334,448","1,332",251.09,0.3983%,4.2,1392607,55.52%,4,30,13.33,13.33%,17,4692,0.36,0.36%,147795,2603,1.76,1.76%,156413,184613,752,11,115334,0.01,0,0,0,115334,7963,8166,203,84,133,49,1048,282,3100,7139,4039,55.52,,23210
Polyamorous Partners Share Their Love Story,C-XKidJmD4k,Both Sides,9.28,1/5/2018,"190,112","1,358",139.99,0.7143%,5,954369,54.08%,1,9,11.11,11.11%,8,2664,0.3,0.30%,111828,2268,2.03,2.03%,90293,109114,578,2,62505,0,0,0,0,62505,4964,5150,186,224,262,38,908,242,2273,5243,2970,54.08,,15906
Cousins Reveal Their Honest Opinions About Each Other,REJ8VEwCymI,Candid Confession,8.47,1/9/2018,"101,184",242,418.12,0.2392%,4.4,447132,52.19%,0,2,0,0.00%,0,1159,0,0.00%,57571,1447,2.51,2.51%,42443,50039,304,3,34404,0.01,0,0,0,34404,1788,1871,83,28,39,11,94,113,614,1926,1312,52.19,,7452
Couple Secretly Shares How Their Love Helped Them Heal,iE7DNDM4yj8,Both Sides,8.3,1/13/2018,"105,913",486,217.93,0.4589%,4.8,508666,57.86%,1,7,14.29,14.29%,7,1790,0.39,0.39%,69326,1296,1.87,1.87%,53769,61564,294,1,35447,0,0,0,0,35447,3873,3956,83,16,38,22,432,95,967,2479,1512,57.86,,8478
The Unsexy Truth About Following Your Dreams,b3Rr-lZqaic,Crazy Ones,6.88,1/17/2018,"118,349","1,991",59.44,1.6823%,2.3,270740,33.23%,33,254,12.99,12.99%,213,24159,0.88,0.88%,29927,424,1.42,1.42%,0,0,150,13,69530,0.02,0,0,0,69530,4677,4825,148,70,116,46,268,366,2314,4283,1969,33.23,,4512
Friends With Benefits Secretly Share Their Feelings For Each Other,x-t6MopdFoE,Both Sides,9.72,1/17/2018,"4,185,245","31,874",131.31,0.7616%,4.7,19822819,48.74%,12685,115786,10.96,10.96%,81324,3124829,2.6,2.60%,1700463,52385,3.08,3.08%,2330254,2666217,9998,178,1177640,0.02,0,0,0,1177640,129726,134175,4449,2615,3632,1017,28506,9813,73484,125212,51728,48.74,,330380
Young Pilot  Overcomes Odds to Attempt Record-Breaking Trip Around Country,AujK1N526-Y,Crazy Ones,9.62,1/18/2018,"40,888",646,63.29,1.5799%,3.9,160543,40.83%,77,274,28.1,28.10%,282,13391,2.11,2.11%,0,0,0,0.00%,15079,18618,118,1,15490,0.01,0,0,0,15490,1916,1952,36,10,18,8,421,104,703,1388,685,40.83,,2676
Couple Secretly Shares Both Sides Of Their Love Story,ieEsCShC9PE,Both Sides,4.4,1/21/2018,"1,220,171","9,846",123.93,0.8069%,2.9,3549484,66.11%,38,93,40.86,40.86%,78,21703,0.36,0.36%,1215647,15949,1.31,1.31%,594008,699130,1454,56,423909,0.01,0,0,0,423909,55947,57367,1420,202,433,231,13878,1497,21217,35820,14603,66.11,,59158
